"sent" "cost" "semester"
"67" -0.5 -0.866025403784439 "2"
"68" -0.866025403784438 -0.5 "2"
"69" -1 -1.83690953073357e-16 "2"
"70" -0.866025403784439 0.5 "2"
"71" -0.5 0.866025403784438 "2"
"72" -2.44921270764475e-16 1 "2"
"73" 0.5 0.866025403784439 "1"
"74" 0.866025403784439 0.5 "1"
"75" 1 6.12303176911189e-17 "1"
"76" 0.866025403784439 -0.5 "1"
"77" 0.5 -0.866025403784439 "1"
"78" 1.22460635382238e-16 -1 "1"
"79" -0.5 -0.866025403784439 "2"
"80" -0.866025403784438 -0.5 "2"
"81" -1 -1.83690953073357e-16 "2"
"82" -0.866025403784439 0.5 "2"
"83" -0.5 0.866025403784438 "2"
"84" -2.44921270764475e-16 1 "2"
"85" 0.5 0.866025403784439 "1"
"86" 0.866025403784439 0.5 "1"
"87" 1 6.12303176911189e-17 "1"
"88" 0.866025403784439 -0.5 "1"
"89" 0.5 -0.866025403784439 "1"
"90" 1.22460635382238e-16 -1 "1"
"91" -0.5 -0.866025403784439 "2"
"92" -0.866025403784438 -0.5 "2"
"93" -1 -1.83690953073357e-16 "2"
"94" -0.866025403784439 0.5 "2"
"95" -0.5 0.866025403784438 "2"
"96" -2.44921270764475e-16 1 "2"
"97" 0.5 0.866025403784439 "1"
"98" 0.866025403784439 0.5 "1"
"99" 1 6.12303176911189e-17 "1"
"100" 0.866025403784439 -0.5 "1"
"101" 0.5 -0.866025403784439 "1"
"102" 1.22460635382238e-16 -1 "1"
"103" -0.5 -0.866025403784439 "2"
"104" -0.866025403784438 -0.5 "2"
"105" -1 -1.83690953073357e-16 "2"
"106" -0.866025403784439 0.5 "2"
"107" -0.5 0.866025403784438 "2"
"108" -2.44921270764475e-16 1 "2"
"109" 0.5 0.866025403784439 "1"
"110" 0.866025403784439 0.5 "1"
"111" 1 6.12303176911189e-17 "1"
"112" 0.866025403784439 -0.5 "1"
"113" 0.5 -0.866025403784439 "1"
"114" 1.22460635382238e-16 -1 "1"
"115" -0.5 -0.866025403784439 "2"
"116" -0.866025403784438 -0.5 "2"
"117" -1 -1.83690953073357e-16 "2"
"118" -0.866025403784439 0.5 "2"
"119" -0.5 0.866025403784438 "2"
"120" -2.44921270764475e-16 1 "2"
"121" 0.5 0.866025403784439 "1"
"122" 0.866025403784439 0.5 "1"
"123" 1 6.12303176911189e-17 "1"
"124" 0.866025403784439 -0.5 "1"
"125" 0.5 -0.866025403784439 "1"
"126" 1.22460635382238e-16 -1 "1"
"127" -0.5 -0.866025403784439 "2"
"128" -0.866025403784438 -0.5 "2"
"129" -1 -1.83690953073357e-16 "2"
"130" -0.866025403784439 0.5 "2"
"131" -0.5 0.866025403784438 "2"
"132" -2.44921270764475e-16 1 "2"
"133" 0.5 0.866025403784439 "1"
"134" 0.866025403784439 0.5 "1"
"135" 1 6.12303176911189e-17 "1"
"136" 0.866025403784439 -0.5 "1"
"137" 0.5 -0.866025403784439 "1"
"138" 1.22460635382238e-16 -1 "1"
"139" -0.5 -0.866025403784439 "2"
"140" -0.866025403784438 -0.5 "2"
"141" -1 -1.83690953073357e-16 "2"
"142" -0.866025403784439 0.5 "2"
"143" -0.5 0.866025403784438 "2"
"144" -2.44921270764475e-16 1 "2"
"145" 0.5 0.866025403784439 "1"
"146" 0.866025403784439 0.5 "1"
"147" 1 6.12303176911189e-17 "1"
"148" 0.866025403784439 -0.5 "1"
"149" 0.5 -0.866025403784439 "1"
"150" 1.22460635382238e-16 -1 "1"
"151" -0.5 -0.866025403784439 "2"
"152" -0.866025403784438 -0.5 "2"
"153" -1 -1.83690953073357e-16 "2"
"154" -0.866025403784439 0.5 "2"
"155" -0.5 0.866025403784438 "2"
"156" -2.44921270764475e-16 1 "2"
"157" 0.5 0.866025403784439 "1"
"158" 0.866025403784439 0.5 "1"
"159" 1 6.12303176911189e-17 "1"
"160" 0.866025403784439 -0.5 "1"
"161" 0.5 -0.866025403784439 "1"
"162" 1.22460635382238e-16 -1 "1"
"163" -0.5 -0.866025403784439 "2"
"164" -0.866025403784438 -0.5 "2"
"165" -1 -1.83690953073357e-16 "2"
"166" -0.866025403784439 0.5 "2"
"167" -0.5 0.866025403784438 "2"
"168" -2.44921270764475e-16 1 "2"
"169" 0.5 0.866025403784439 "1"
"170" 0.866025403784439 0.5 "1"
"171" 1 6.12303176911189e-17 "1"
"172" 0.866025403784439 -0.5 "1"
"173" 0.5 -0.866025403784439 "1"
"174" 1.22460635382238e-16 -1 "1"
"175" -0.5 -0.866025403784439 "2"
"176" -0.866025403784438 -0.5 "2"
"177" -1 -1.83690953073357e-16 "2"
"178" -0.866025403784439 0.5 "2"
"179" -0.5 0.866025403784438 "2"
"180" -2.44921270764475e-16 1 "2"
"181" 0.5 0.866025403784439 "1"
"182" 0.866025403784439 0.5 "1"
"183" 1 6.12303176911189e-17 "1"
"184" 0.866025403784439 -0.5 "1"
"185" 0.5 -0.866025403784439 "1"
"186" 1.22460635382238e-16 -1 "1"
"187" -0.5 -0.866025403784439 "2"
"188" -0.866025403784438 -0.5 "2"
"189" -1 -1.83690953073357e-16 "2"
"190" -0.866025403784439 0.5 "2"
"191" -0.5 0.866025403784438 "2"
"192" -2.44921270764475e-16 1 "2"
"193" 0.5 0.866025403784439 "1"
"194" 0.866025403784439 0.5 "1"
"195" 1 6.12303176911189e-17 "1"
"196" 0.866025403784439 -0.5 "1"
"197" 0.5 -0.866025403784439 "1"
"198" 1.22460635382238e-16 -1 "1"
"199" -0.5 -0.866025403784439 "2"
"200" -0.866025403784438 -0.5 "2"
"201" -1 -1.83690953073357e-16 "2"
"202" -0.866025403784439 0.5 "2"
"203" -0.5 0.866025403784438 "2"
"204" -2.44921270764475e-16 1 "2"
"205" 0.5 0.866025403784439 "1"
"206" 0.866025403784439 0.5 "1"
"207" 1 6.12303176911189e-17 "1"
"208" 0.866025403784439 -0.5 "1"
"209" 0.5 -0.866025403784439 "1"
"210" 1.22460635382238e-16 -1 "1"
"211" -0.5 -0.866025403784439 "2"
"212" -0.866025403784438 -0.5 "2"
"213" -1 -1.83690953073357e-16 "2"
"214" -0.866025403784439 0.5 "2"
"215" -0.5 0.866025403784438 "2"
"216" -2.44921270764475e-16 1 "2"
